frequency,callsign,city,state,power,lat,lon,height,slogan,owner,format,mlb,nfl,nba,nhl,market,rank,npr
107.7,WRKR,PORTAGE,MI,50.0,42.12894444444444,85.33944444444444,143.0,107.7 THE ROCKER,"Townsquare License, LLC",Rock,,,,,Kalamazoo,183.0,False
92.7,WRPP,MANISTIQUE,MI,51.0,45.966638888888895,86.48819444444445,195.0,92.7 THE LEGEND,"906 Delta, LLC",Classic Rock,,,,,,,False
103.9,WRSR,OWOSSO,MI,2.85,42.99586111111111,83.99275,149.0,103.9 THE FOX,KROL COMMUNICATIONS INC.,Classic Rock,,Lions,,,,,False
91.3,WRSX,PORT HURON,MI,0.12,42.97863888888889,82.42905555555556,25.0,MICHIGAN PUBLIC,ST. CLAIR COUNTY REGIONAL EDUCATIONAL SERVICE AGENCY,News,,,,,Detroit,13.0,True
98.3,WRUP,PALMER,MI,2.6,46.603833333333334,87.62097222222222,207.0,REAL CLASSIC ROCK 98.3,MEDIABREW COMMUNICATIONS MARQUETTE LLC,Classic Rock,,,,,,,False
92.3,WRVU-LP,GRAND RAPIDS,MI,0.1,42.850861111111115,85.60725,12.0,RADIO VISION,IGLESIA DEL REY,Religious,,,,,Grand Rapids,68.0,False
106.9,WSAE,SPRING ARBOR,MI,3.9,42.153638888888885,84.54938888888888,103.0,HOME.FM,SPRING ARBOR UNIVERSITY,Contemporary Christian,,,,,,,False
104.1,WSAG,LINWOOD,MI,4.6,43.72502777777778,83.94719444444445,103.0,104 FM THE BAY,MACDONALD BROADCASTING COMPANY,Soft AC,,,,,Saginaw-Bay City-Midland,152.0,False
107.1,WSAQ,PORT HURON,MI,6.0,42.97697222222222,82.46433333333334,99.0,Q COUNTRY 107,"LIGGETT COMMUNICATIONS, L.L.C.",Country,,,,,Detroit,13.0,False
94.5,WSBX,MACKINAW CITY,MI,50.0,45.666666666666664,84.63477777777778,77.0,BRIDGE FM - EVERYTHING CLASSIC,"Whiskey Sours Broadcasting and Productions, LLC",Classic Hits,,,,,Traverse City-Petoskey-Cadillac,178.0,False
88.1,WSDP,PLYMOUTH,MI,0.3,42.349472222222225,83.49577777777777,31.0,88.1 THE PARK,PLYMOUTH-CANTON COMMUNITY SCHOOLS,Hot AC,,,,,Detroit,13.0,False
88.1,WSFP,HARRISVILLE,MI,18.0,44.70333333333333,83.52413888888888,90.0,SMILE FM MICHIGAN'S POSITIVE HITS,MICHIGAN COMMUNITY RADIO,Contemporary Christian,,,,,,,False
105.5,WSFT-LP,BERRIEN SPRINGS,MI,0.057,41.92363888888889,86.28222222222222,28.0,LIFE SEARCH RADIO,"LIFE SEARCH RADIO, INC.",Religious Teaching,,,,,,,False
100.5,WSGW-FM,CARROLLTON,MI,3.0,43.56169444444444,83.98108333333333,102.0,100.5 AND 790 NEWSRADIO WSGW,Alpha Media Licensee LLC,News,,,,,Saginaw-Bay City-Midland,152.0,False
88.3,WSHJ,SOUTHFIELD,MI,0.105,42.47002777777778,83.26408333333333,39.4,,BOARD OF EDUCATION OF SOUTHFIELD PUBLIC SCHOOLS,Hip Hop,,,,,Detroit,13.0,False
89.3,WSHN,MUNISING,MI,100.0,46.603833333333334,87.62097222222222,212.0,K-LOVE,"CHRISTIANRADIOBROADCASTING.ORG, INC.",Contemporary Christian,,,,,,,False
88.7,WSIS,RIVERSIDE,MI,6.0,42.25391666666667,86.3358611111111,115.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,,,False
96.9,WSJB-LP,ST. JOSEPH,MI,0.1,42.098083333333335,86.43419444444444,35.0,,SAINT JOSEPH EDUCATIONAL BROADCASTERS,Religious Teaching,,,,,,,False
103.7,WSJH,HUBBARDSTON,MI,2.0,43.133916666666664,84.83083333333333,25.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,,,False
94.9,WSJM-FM,BENTON HARBOR,MI,2.2,42.07197222222223,86.37058333333333,96.0,NEWS TALK SPORTS 94.9 WSJM,"WSJM, INC.",News,Tigers,,,,,,False
90.9,WSLI-FM,BELDING,MI,11.5,43.08669444444445,85.31638888888888,56.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,Grand Rapids,68.0,False
89.3,WSMB,HARBOR BEACH,MI,12.0,43.686138888888884,82.99438888888889,125.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,,,False
